"creation_date_gmt";"count"
"2018-06-30";"13"
"2018-06-29";"34"
"2018-06-28";"145"
"2018-06-27";"45"
"2018-06-26";"32"
"2018-06-25";"41"
"2018-06-24";"8"
"2018-06-23";"4"
"2018-06-22";"40"
"2018-06-21";"39"
"2018-06-20";"185"
"2018-06-19";"25"
"2018-06-18";"39"
"2018-06-17";"3"
"2018-06-16";"17"
"2018-06-15";"23"
"2018-06-14";"57"
"2018-06-13";"293"
"2018-06-12";"30"
"2018-06-11";"43"
"2018-06-10";"7"
"2018-06-09";"8"
"2018-06-08";"957"
"2018-06-07";"631"
"2018-06-06";"27"
"2018-06-05";"35"
"2018-06-04";"62"
"2018-06-03";"6"
"2018-06-02";"12"
"2018-06-01";"46"
"2018-05-31";"380"
"2018-05-30";"60"
"2018-05-29";"44"
"2018-05-28";"10"
"2018-05-27";"5"
"2018-05-26";"3"
"2018-05-25";"53"
"2018-05-24";"21"
"2018-05-23";"2563"
"2018-05-22";"363"
"2018-05-21";"190"
"2018-05-19";"6"
"2018-05-18";"32"
"2018-05-17";"29"
"2018-05-16";"30"
"2018-05-15";"164"
"2018-05-14";"32"
"2018-05-13";"9"
"2018-05-12";"16"
"2018-05-11";"1169"
"2018-05-10";"21"
"2018-05-09";"20"
"2018-05-08";"383"
"2018-05-07";"46"
"2018-05-06";"8"
"2018-05-05";"9"
"2018-05-04";"54"
"2018-05-03";"457"
"2018-05-02";"22"
"2018-05-01";"161"
"2018-04-30";"22"
"2018-04-29";"30"
"2018-04-28";"7"
"2018-04-27";"38"
"2018-04-26";"157"
"2018-04-25";"26"
"2018-04-24";"40"
"2018-04-23";"190"
"2018-04-22";"14"
"2018-04-21";"12"
"2018-04-20";"37"
"2018-04-19";"37"
"2018-04-18";"300"
"2018-04-17";"654"
"2018-04-16";"60"
"2018-04-15";"48"
"2018-04-14";"21"
"2018-04-13";"37"
"2018-04-12";"45"
"2018-04-11";"222"
"2018-04-10";"61"
"2018-04-09";"172"
"2018-04-08";"19"
"2018-04-07";"13"
"2018-04-06";"92"
"2018-04-05";"41"
"2018-04-04";"819"
"2018-04-03";"52"
"2018-04-02";"321"
"2018-04-01";"13"
"2018-03-31";"15"
