"creation_date_gmt";"count"
"2018-06-29";"39"
"2018-06-28";"56"
"2018-06-27";"62"
"2018-06-26";"51"
"2018-06-25";"139"
"2018-06-24";"8"
"2018-06-23";"4"
"2018-06-22";"43"
"2018-06-21";"55"
"2018-06-20";"61"
"2018-06-19";"68"
"2018-06-18";"106"
"2018-06-17";"3"
"2018-06-16";"17"
"2018-06-15";"29"
"2018-06-14";"74"
"2018-06-13";"63"
"2018-06-12";"60"
"2018-06-11";"132"
"2018-06-10";"7"
"2018-06-09";"8"
"2018-06-08";"34"
"2018-06-07";"42"
"2018-06-06";"59"
"2018-06-05";"36"
"2018-06-04";"138"
"2018-06-03";"6"
"2018-06-02";"12"
"2018-06-01";"74"
"2018-05-31";"110"
"2018-05-30";"129"
"2018-05-29";"107"
"2018-05-28";"10"
"2018-05-27";"5"
"2018-05-26";"3"
"2018-05-25";"78"
"2018-05-24";"28"
"2018-05-23";"61"
"2018-05-22";"133"
"2018-05-21";"74"
"2018-05-19";"6"
"2018-05-18";"53"
"2018-05-17";"114"
"2018-05-16";"73"
"2018-05-15";"62"
"2018-05-14";"107"
"2018-05-13";"9"
"2018-05-12";"16"
"2018-05-11";"24"
"2018-05-10";"30"
"2018-05-09";"37"
"2018-05-08";"66"
"2018-05-07";"105"
"2018-05-06";"8"
"2018-05-05";"9"
"2018-05-04";"136"
"2018-05-03";"58"
"2018-05-02";"135"
"2018-05-01";"91"
"2018-04-30";"67"
"2018-04-29";"32"
"2018-04-28";"7"
"2018-04-27";"58"
"2018-04-26";"71"
"2018-04-25";"30"
"2018-04-24";"71"
"2018-04-23";"122"
"2018-04-22";"14"
"2018-04-21";"12"
"2018-04-20";"50"
"2018-04-19";"85"
"2018-04-18";"75"
"2018-04-17";"127"
"2018-04-16";"187"
"2018-04-15";"48"
"2018-04-14";"21"
"2018-04-13";"74"
"2018-04-12";"75"
"2018-04-11";"85"
"2018-04-10";"122"
"2018-04-09";"130"
"2018-04-08";"19"
"2018-04-07";"13"
"2018-04-06";"148"
"2018-04-05";"132"
"2018-04-04";"100"
"2018-04-03";"151"
"2018-04-02";"148"
"2018-04-01";"14"
"2018-03-31";"15"
